track,severity_index,epsilon_raw,alpha,mean_delta_ser,mean_delta_cer,mean_ser,mean_cer
Track A spectral (mean over α),0.0,0.0,mean,0.0,0.0,0.0,0.0
Track A spectral (mean over α),0.024999999999999998,0.01,mean,0.012914353338907154,0.008900506979741976,0.012914353338907154,0.008900506979741976
Track A spectral (mean over α),0.049999999999999996,0.02,mean,0.03290954870794966,0.01698087912543864,0.03290954870794966,0.01698087912543864
Track A spectral (mean over α),0.09999999999999999,0.04,mean,0.07996661045380293,0.05777740702833913,0.07996661045380293,0.05777740702833913
Track A spectral (mean over α),0.19999999999999998,0.08,mean,0.15785985781055975,0.11405752271397807,0.15785985781055975,0.11405752271397807
Track A spectral (mean over α),0.39999999999999997,0.16,mean,0.17703621906070421,0.12853316830330935,0.17703621906070421,0.12853316830330935
Track A spectral (mean over α),0.7999999999999999,0.32,mean,0.12558440466188112,0.08968469795388105,0.12558440466188112,0.08968469795388105
Track A spectral (mean over α),1.0,0.4,mean,0.1780662078465947,0.12782573848946052,0.1780662078465947,0.12782573848946052
Track B square,0.0,0.0,,0.0,0.0,0.0,0.0
Track B square,0.25,0.1,,0.1703237604340293,0.14578815189151048,0.1703237604340293,0.14578815189151048
Track B square,0.5,0.2,,0.25157422915440375,0.2152727578778976,0.25157422915440375,0.2152727578778976
Track B square,0.7499999999999999,0.3,,0.5173465359868713,0.43226683128474425,0.5173465359868713,0.43226683128474425
Track B square,1.0,0.4,,2.6349177439377702,2.0930590496454977,2.6349177439377702,2.0930590496454977
